line_number,start_stop,end_stop
103,Aleja Przyjaźni,Lesisko
110,Aleja Przyjaźni,Węgrzynowice
122,Aleja Przyjaźni,Zesławice
142,Aleja Przyjaźni,Os. Na Stoku
160,Aleja Przyjaźni,Ruszcza
422,Aleja Przyjaźni,Zesławice
502,Aleja Przyjaźni,Salwator
572,Aleja Przyjaźni,Bronowice Małe
130,Azory,Dworzec Główny Zachód
138,Azory,Kombinat
138,Azory,Zajezdnia Bieńczyce
173,Azory,Nowy Bieżanów Południe
173,Azory,Rondo Matecznego
494,Azory,Pod Fortem
134,Baba Jaga (nż),Salwator
127,Bagry,Podgórze SKA
10,Bardosa,Kurdwanów P+R
16,Bardosa,Mistrzejowice
310,Będkowice Pętla,Cracovia Stadion
910,Będkowice Pętla,Bronowice Małe
310,Biały Kościół Murownia Pętla,Cracovia Stadion
247,Bibice Rynek,Górka Narodowa P+R
102,Bielany,Krowodrza Górka P+R
109,Bielany,Cichy Kącik
609,Bielany,Dworzec Główny Wschód
204,Bieżanowska,Czerwone Maki P+R
204,Bieżanowska,Wieliczka Miasto
143,Bieżanów,Podgórze SKA
153,Bieżanów Potrzask,Nowy Bieżanów P+R
153,Bieżanów Potrzask,Nowy Bieżanów Południe
176,Bodzów,Kostrze OSP
297,Boleń Pętla,Krowodrza Górka P+R
121,Borek Fałęcki,Kliny Poranne
151,Borek Fałęcki,Pod Fortem
175,Borek Fałęcki,Sidzina
191,Borek Fałęcki,Pod Fortem
214,Borek Fałęcki,Grabówki Pętla
214,Borek Fałęcki,Podstolice Centrum
215,Borek Fałęcki,Rzeszotary Panciawa Pętla
225,Borek Fałęcki,Świątniki Górne Urząd Miasta i Gminy
235,Borek Fałęcki,Ochodza Dwór
235,Borek Fałęcki,Ochodza Odwiśle
235,Borek Fałęcki,Skawina Podbory (nż)
243,Borek Fałęcki,Skawina SCK
245,Borek Fałęcki,Buków Pętla
245,Borek Fałęcki,Skawina
254,Borek Fałęcki,Golkowice Pętla
254,Borek Fałęcki,Grabówki Pętla
255,Borek Fałęcki,Gaj Zadziele
255,Borek Fałęcki,Lusina Pętla
265,Borek Fałęcki,Konary Pętla
275,Borek Fałęcki,Włosań Centrum
285,Borek Fałęcki,Ochojno Remiza
293,Borek Fałęcki,Kopanka Pętla
293,Borek Fałęcki,Skawina
475,Borek Fałęcki,Sidzina
610,Borek Fałęcki,Prądnik Czerwony
19,Borek Fałęcki,Krowodrza G. P+R
22,Borek Fałęcki,Kombinat
22,Borek Fałęcki,Kopiec Wandy
50,Borek Fałęcki,Górka Narodowa P+R
8,Borek Fałęcki,Bronowice Małe
13,Bronowice,Nowy Bieżanów P+R
14,Bronowice,Mistrzejowice
108,Bronowice Małe,Wizjonerów
120,Bronowice Małe,Nowy Kleparz
164,Bronowice Małe,Piaski Nowe
172,Bronowice Małe,Kombinat
172,Bronowice Małe,Struga
200,Bronowice Małe,Przeginia Kościół
218,Bronowice Małe,Zabierzów Młyn
228,Bronowice Małe,Chrosna Pętla
228,Bronowice Małe,Morawica Centrum
230,Bronowice Małe,Ujazd Pętla
238,Bronowice Małe,Młynka Pętla
248,Bronowice Małe,Zelków Pętla
258,Bronowice Małe,Nielepice Pętla
268,Bronowice Małe,Karniowice Pętla
278,Bronowice Małe,Krzeszowice Dworzec Autobusowy
278,Bronowice Małe,Rudawa Szkoła
572,Bronowice Małe,Aleja Przyjaźni
664,Bronowice Małe,Os. Piastów
730,Bronowice Małe,Modlniczka Dworska
910,Bronowice Małe,Będkowice Pętla
918,Bronowice Małe,Rudawa Rynek
948,Bronowice Małe,Zelków Pętla
24,Bronowice Małe,Kurdwanów P+R
4,Bronowice Małe,Zaj. Nowa Huta
64,Bronowice Małe,Os.Piastów
8,Bronowice Małe,Borek Fałęcki
22,Brożka (nż),Kopiec Wandy
221,Brzegi Pętla,Mały Płaszów P+R
223,Brzeźnica Dworzec,Czerwone Maki P+R
223,Brzeźnica Dworzec,Skawina
245,Buków Pętla,Borek Fałęcki
501,Bulwarowa (nż),Chełmońskiego Pętla
224,Centrum JP II,Wieliczka Miasto
131,Chałupki,Pleszów
192,Chełm,Dworzec Główny Wschód
168,Chełmońskiego Pętla,Krowodrza Górka P+R
501,Chełmońskiego Pętla,Bulwarowa (nż)
511,Chełmońskiego Pętla,Os. Na Stoku
611,Chełmońskiego Pętla,Czyżyny Dworzec
211,Chobot Leśniczówka,Pleszów
228,Chrosna Pętla,Bronowice Małe
109,Cichy Kącik,Bielany
159,Cichy Kącik,Os. Piastów
1,Cichy Kącik,Wańkowicza
20,Cichy Kącik,Mały Płaszów P+R
152,Cmentarz Olszanica (nż),Czyżyny Dworzec
105,Cmentarz Prądnik Czerwony,Dworzec Główny Zachód
442,Cmentarz Prądnik Czerwony,Os. Na Stoku
72,Cmentarz Rakowicki,Mały Płaszów P+R
134,Cracovia Stadion,ZOO
307,Cracovia Stadion,Michałowice P+R
310,Cracovia Stadion,Będkowice Pętla
310,Cracovia Stadion,Biały Kościół Murownia Pętla
199,Czarnowiejska,Mydlniki Wapiennik P+R
249,Czernichów Rynek,Os. Podwawelskie
249,Czernichów Rynek,Rondo Grunwaldzkie
259,Czernichów Rynek,Os. Podwawelskie
259,Czernichów Rynek,Rondo Grunwaldzkie
116,Czerwone Maki P+R,Podgórki Tynieckie
156,Czerwone Maki P+R,Sidzina
203,Czerwone Maki P+R,Skawina
204,Czerwone Maki P+R,Wieliczka Miasto
213,Czerwone Maki P+R,Krzęcin Pętla
223,Czerwone Maki P+R,Brzeźnica Dworzec
233,Czerwone Maki P+R,Sidzina
233,Czerwone Maki P+R,Skawina
253,Czerwone Maki P+R,Wola Radziszowska Pętla
263,Czerwone Maki P+R,Radziszów PKP
283,Czerwone Maki P+R,Skawina
476,Czerwone Maki P+R,Kostrze OSP
578,Czerwone Maki P+R,Mistrzejowice
662,Czerwone Maki P+R,Plac Centralny im. R.Reagana
903,Czerwone Maki P+R,Skawina
11,Czerwone Maki P+R,Mały Płaszów P+R
17,Czerwone Maki P+R,Dworzec Towarowy
18,Czerwone Maki P+R,Górka Narodowa P+R
52,Czerwone Maki P+R,Os.Piastów
62,Czerwone Maki P+R,pl. Centralny
212,Czulice Kościół,Czyżyny Dworzec
271,Czulice Kościół,Pleszów
269,Czułów Szkoła,Os. Podwawelskie
269,Czułówek Kapliczka,Os. Podwawelskie
269,Czułówek Kapliczka,Rondo Grunwaldzkie
113,Czyżyny Dworzec,EC Łęg
129,Czyżyny Dworzec,Dworzec Główny Zachód
152,Czyżyny Dworzec,Cmentarz Olszanica (nż)
202,Czyżyny Dworzec,Łososkowice Remiza
212,Czyżyny Dworzec,Czulice Kościół
222,Czyżyny Dworzec,Słomniki Osiedle
232,Czyżyny Dworzec,Goszcza Dworek
262,Czyżyny Dworzec,Rawałowice Kapliczka
603,Czyżyny Dworzec,Na Załęczu
611,Czyżyny Dworzec,Chełmońskiego Pętla
701,Czyżyny Dworzec,Wzgórza Krzesławickie
239,Dąbrowa Szlachecka Krzemiennik,Os. Podwawelskie
182,Dworzec Główny Wschód,Os. Na Stoku
192,Dworzec Główny Wschód,Chełm
192,Dworzec Główny Wschód,Olszanica Bory
482,Dworzec Główny Wschód,Mistrzejowice
537,Dworzec Główny Wschód,Witkowice
609,Dworzec Główny Wschód,Bielany
902,Dworzec Główny Wschód,Kraków Airport
105,Dworzec Główny Zachód,Prądnik Czerwony
129,Dworzec Główny Zachód,Czyżyny Dworzec
130,Dworzec Główny Zachód,Azory
132,Dworzec Główny Zachód,Kombinat
179,Dworzec Główny Zachód,Os. Kurdwanów
304,Dworzec Główny Zachód,Wieliczka Miasto
405,Dworzec Główny Zachód,Cmentarz Prądnik Czerwony
17,Dworzec Towarowy,Czerwone Maki P+R
44,Dworzec Towarowy,Kombinat
44,Dworzec Towarowy,Kopiec Wandy
297,Dziekanowice Batowice SKA,Boleń Pętla
113,EC Łęg,Czyżyny Dworzec
255,Gaj Zadziele,Borek Fałęcki
220,Giebułtów Morgi,Krowodrza Górka P+R
135,Golkowice Pętla,Kurdwanów P+R
135,Golkowice Pętla,Łagiewniki
254,Golkowice Pętla,Borek Fałęcki
232,Goszcza Dworek,Czyżyny Dworzec
193,Górka Narodowa P+R,Lesisko
217,Górka Narodowa P+R,Węgrzce Pętla
247,Górka Narodowa P+R,Bibice Rynek
257,Górka Narodowa P+R,Narama Remiza
277,Górka Narodowa P+R,Iwanowice Dworskie Pętla
280,Górka Narodowa P+R,Owczary Pętla
503,Górka Narodowa P+R,Nowy Bieżanów Południe
18,Górka Narodowa P+R,Czerwone Maki P+R
50,Górka Narodowa P+R,Borek Fałęcki
50,Górka Narodowa P+R,Kurdwanów P+R
69,Górka Narodowa P+R,Nowy Bieżanów P+R
227,Górna Wieś Pętla,Krowodrza Górka P+R
917,Górna Wieś Pętla,Krowodrza Górka P+R
264,Grabie Kościół,Mały Płaszów P+R
295,Grabie Pętla,Skawina SCK
214,Grabówki Pętla,Borek Fałęcki
254,Grabówki Pętla,Borek Fałęcki
180,Grębałów,Os. Na Stoku
277,Iwanowice Dworskie Pętla,Górka Narodowa P+R
219,Jeziorzany Pętla,Os. Podwawelskie
239,Jeziorzany Pętla,Os. Podwawelskie
229,Kamień Szkoła,Os. Podwawelskie
229,Kamień Szkoła,Rondo Grunwaldzkie
